latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.17602,130.69427,315.81,2.05,1.39,2025-06-09,0054,T,73,6.1NRT,295.18,29.69,D
-14.17815,130.71292,306.21,2.06,1.4,2025-06-09,0054,T,53,6.1NRT,294.61,10.04,D
-14.0709,129.6947,323.83,1.71,1.28,2025-06-09,0054,T,81,6.1NRT,295.49,42.21,D
-14.14635,130.12733,316.82,1.85,1.33,2025-06-09,0054,T,74,6.1NRT,296.34,27.78,D
-14.17239,130.24397,310.56,1.89,1.34,2025-06-09,0054,T,59,6.1NRT,296.49,14.19,D
-14.21882,130.63246,316.81,2.03,1.39,2025-06-09,0054,T,38,6.1NRT,294.91,28.3,D
-14.24669,130.76137,308.8,2.08,1.4,2025-06-09,0054,T,62,6.1NRT,293.96,16.65,D
-14.24894,130.78023,306.07,2.09,1.41,2025-06-09,0054,T,45,6.1NRT,293.2,11.22,D
-14.23685,130.57512,318.48,2.01,1.38,2025-06-09,0054,T,68,6.1NRT,293.28,36.51,D
-14.23904,130.59322,358.59,2.02,1.38,2025-06-09,0054,T,99,6.1NRT,298.34,216.21,D
-14.2513,130.59167,355.04,2.02,1.38,2025-06-09,0054,T,98,6.1NRT,294.15,192.21,D
-14.2535,130.60974,392,2.02,1.39,2025-06-09,0054,T,100,6.1NRT,300.76,565.86,D
-14.25573,130.62805,329.2,2.03,1.39,2025-06-09,0054,T,42,6.1NRT,295.92,58.34,D
-14.26805,130.62672,321.17,2.03,1.39,2025-06-09,0054,T,52,6.1NRT,293.89,39.99,D
-14.24249,130.58635,351.44,2.02,1.38,2025-06-09,0054,T,96,6.1NRT,295.75,170.98,D
-14.24453,130.60432,358.85,2.02,1.39,2025-06-09,0054,T,99,6.1NRT,299.67,215.61,D
-14.25681,130.60284,372.02,2.02,1.39,2025-06-09,0054,T,100,6.1NRT,296.57,331.18,D
-14.25891,130.62112,355.09,2.03,1.39,2025-06-09,0054,T,98,6.1NRT,296.88,193.87,D
-14.27335,130.63824,321.26,2.04,1.39,2025-06-09,0054,T,68,6.1NRT,294.73,42.23,D
-14.26653,130.47284,307.43,1.98,1.37,2025-06-09,0054,T,48,6.1NRT,294.89,12.72,D
-14.28783,130.6553,326.74,2.04,1.39,2025-06-09,0054,T,83,6.1NRT,294.53,59.77,D
-14.28998,130.67383,314.96,2.05,1.39,2025-06-09,0054,T,45,6.1NRT,294.97,26.66,D
-14.2766,130.45372,305.64,1.97,1.37,2025-06-09,0054,T,32,6.1NRT,294.04,9.22,D
-14.27869,130.47142,305.8,1.98,1.37,2025-06-09,0054,T,33,6.1NRT,293.67,9.87,D
-14.34137,130.33257,306.84,1.93,1.36,2025-06-09,0054,T,55,6.1NRT,293.91,12.78,D
-14.39021,130.75153,307.8,2.09,1.41,2025-06-09,0054,T,60,6.1NRT,294.12,15.72,D
-14.3534,130.33112,305.91,1.93,1.36,2025-06-09,0054,T,44,6.1NRT,295.04,10.77,D
-14.35548,130.34866,304.35,1.94,1.36,2025-06-09,0054,T,31,6.1NRT,293.79,8.63,D
-14.34778,129.88985,306.53,1.79,1.31,2025-06-09,0054,T,44,6.1NRT,296.14,8.87,D
-14.10631,127.46616,308.3,1.22,1.1,2025-06-09,0054,T,58,6.1NRT,297.17,5.67,D
-15.00798,134.90865,306.58,4.5,1.95,2025-06-09,0054,T,31,6.1NRT,292.96,40.31,D
-15.0295,134.94783,308.53,4.54,1.96,2025-06-09,0054,T,51,6.1NRT,293.39,50.08,D
-14.49806,130.42761,307.78,1.98,1.37,2025-06-09,0054,T,36,6.1NRT,294.13,13.87,D
-15.01028,134.90326,306.76,4.5,1.95,2025-06-09,0054,T,51,6.1NRT,293.14,43.52,D
-15.05006,134.77689,310.51,4.41,1.93,2025-06-09,0054,T,28,6.1NRT,293.12,54.99,D
-15.05407,134.81697,321.26,4.44,1.94,2025-06-09,0054,T,67,6.1NRT,293.63,126.95,D
8.67277,29.02274,301.43,3.51,1.76,2025-06-09,0018,A,41,6.1NRT,290.63,28.08,N
-15.07447,135.02213,308.48,4.61,1.97,2025-06-09,0054,T,47,6.1NRT,294.41,43.4,D
-14.52197,129.72566,313.77,1.75,1.3,2025-06-09,0054,T,50,6.1NRT,297.08,15.37,D
-15.10561,134.81154,322.52,4.44,1.94,2025-06-09,0054,T,30,6.1NRT,293.81,126.2,D
-1.38768,29.15962,305.98,2.31,1.47,2025-06-09,0020,A,53,6.1NRT,282.7,30.83,N
-14.51923,129.71936,313.35,1.75,1.3,2025-06-09,0054,T,70,6.1NRT,297.68,15.61,D
-1.3911,29.18247,333.33,2.3,1.47,2025-06-09,0020,A,100,6.1NRT,285.38,120.23,N
-14.52109,129.73515,310.1,1.75,1.3,2025-06-09,0054,T,63,6.1NRT,297.01,9.56,D
-15.05273,134.76932,305.1,4.41,1.93,2025-06-09,0054,T,15,6.1NRT,292.92,29.48,D
-1.40418,29.18225,347.42,2.3,1.47,2025-06-09,0020,A,100,6.1NRT,290.14,196.84,N
-15.05647,134.80939,327.34,4.44,1.94,2025-06-09,0054,T,84,6.1NRT,294.09,187.71,D
-15.06405,134.8907,312.85,4.5,1.95,2025-06-09,0054,T,61,6.1NRT,293.96,65.38,D
-1.4075,29.2046,429.06,2.29,1.47,2025-06-09,0020,A,100,6.1NRT,304.06,1604.56,N
-15.07555,135.01468,306.69,4.61,1.97,2025-06-09,0054,T,55,6.1NRT,294.54,34.49,D
-1.41009,29.22188,364.06,2.29,1.46,2025-06-09,0020,A,100,6.1NRT,286.95,331.7,N
-14.63419,130.49614,304.13,2.01,1.38,2025-06-09,0054,T,42,6.1NRT,294.01,8.44,D
-15.10802,134.80391,316.72,4.44,1.94,2025-06-09,0054,T,69,6.1NRT,293.69,93.62,D
-1.42023,29.20216,321.86,2.29,1.47,2025-06-09,0020,A,68,6.1NRT,283.04,68.75,N
-15.11197,134.84464,317.44,4.47,1.94,2025-06-09,0054,T,75,6.1NRT,294.76,97.47,D
-14.77305,129.82256,309.87,1.79,1.31,2025-06-09,0054,T,60,6.1NRT,296.38,12.61,D
-1.39131,29.17684,331.25,2.3,1.47,2025-06-09,0020,A,96,6.1NRT,285.71,106.35,N
-14.63338,126.95696,310.2,1.16,1.07,2025-06-09,0054,T,62,6.1NRT,295.99,7.61,D
-1.3949,29.19951,309.99,2.29,1.47,2025-06-09,0020,A,22,6.1NRT,282.86,34.51,N
-14.79145,128.02599,307.37,1.34,1.15,2025-06-09,0054,T,51,6.1NRT,294.96,7.26,D
-1.40429,29.17584,339.91,2.3,1.47,2025-06-09,0020,A,92,6.1NRT,287.45,148.36,N
-14.86988,125.77331,327.85,1.04,1.02,2025-06-09,0054,T,84,6.1NRT,296.95,24.98,D
-14.87118,125.78274,309.51,1.04,1.02,2025-06-09,0054,T,63,6.1NRT,294.78,6.81,D
-1.40799,29.19936,414.11,2.29,1.47,2025-06-09,0020,A,100,6.1NRT,299.75,1173.11,N
-1.41088,29.2178,398.44,2.29,1.46,2025-06-09,0020,A,100,6.1NRT,294.91,819.04,N
-14.92959,125.80678,305.66,1.05,1.02,2025-06-09,0054,T,51,6.1NRT,294.93,4.56,D
-1.42066,29.19665,315.46,2.29,1.47,2025-06-09,0020,A,91,6.1NRT,282.48,52.38,N
-15.95372,130.53911,310.98,2.12,1.41,2025-06-09,0054,T,50,6.1NRT,296.01,16.41,D
-15.42845,125.41824,323.02,1.03,1.01,2025-06-09,0056,T,81,6.1NRT,295.94,18.99,D
-1.42359,29.21543,305.14,2.29,1.46,2025-06-09,0020,A,33,6.1NRT,281.11,27.37,N
-15.42975,125.42765,326.41,1.03,1.01,2025-06-09,0056,T,83,6.1NRT,295.74,22.18,D
-15.44133,125.44518,314.34,1.03,1.01,2025-06-09,0056,T,72,6.1NRT,295.67,10.5,D
-15.44263,125.45457,305.72,1.03,1.01,2025-06-09,0056,T,54,6.1NRT,294.75,4.17,D
-15.50245,124.83416,308.93,1.01,1,2025-06-09,0056,T,24,6.1NRT,296.93,5.02,D
-15.51004,124.82374,310.72,1.01,1,2025-06-09,0056,T,58,6.1NRT,294.79,6.6,D
-15.51134,124.83291,309.45,1.01,1,2025-06-09,0056,T,46,6.1NRT,294.6,5.56,D
-15.59633,125.43595,312.37,1.03,1.02,2025-06-09,0056,T,61,6.1NRT,295.41,7.93,D
-15.599,125.45503,321.39,1.03,1.02,2025-06-09,0056,T,77,6.1NRT,297.3,15.71,D
-15.60033,125.46454,348.09,1.03,1.02,2025-06-09,0056,T,95,6.1NRT,297.12,57.25,D
-15.60932,125.46321,332.26,1.03,1.02,2025-06-09,0056,T,87,6.1NRT,298.32,28.49,D
-15.61066,125.47275,320.63,1.03,1.02,2025-06-09,0056,T,69,6.1NRT,296.13,14.7,D
-15.61896,125.46485,325.92,1.03,1.02,2025-06-09,0056,T,83,6.1NRT,297.72,21.68,D
-15.62664,125.45396,309.02,1.03,1.02,2025-06-09,0056,T,63,6.1NRT,295.31,6.1,D
-15.62796,125.46358,307.28,1.03,1.02,2025-06-09,0056,T,59,6.1NRT,295.37,4.93,D
-15.80892,125.24256,313.45,1.02,1.01,2025-06-09,0056,T,62,6.1NRT,295.16,8.96,D
-15.81023,125.25192,316.26,1.02,1.01,2025-06-09,0056,T,74,6.1NRT,294.74,11.58,D
-15.81788,125.24129,322.7,1.02,1.01,2025-06-09,0056,T,80,6.1NRT,295.17,17.7,D
-15.75848,124.42545,307.78,1,1,2025-06-09,0056,T,60,6.1NRT,296.38,4.66,D
-18.66773,123.64228,322.07,1,1,2025-06-09,0056,T,80,6.1NRT,296.36,16.82,D
-20.05181,122.13911,311.65,1.04,1.02,2025-06-09,0056,T,67,6.1NRT,296.09,7.59,D
-20.05327,122.1488,312.5,1.04,1.02,2025-06-09,0056,T,68,6.1NRT,296.93,8.21,D
-20.06228,122.14732,308.5,1.04,1.02,2025-06-09,0056,T,31,6.1NRT,295.63,4.88,D
-20.06958,122.19577,314.82,1.03,1.02,2025-06-09,0056,T,72,6.1NRT,298.89,9.59,D
-20.07103,122.20544,315.03,1.03,1.02,2025-06-09,0056,T,72,6.1NRT,299.12,9.67,D
-20.07857,122.1943,361.22,1.03,1.02,2025-06-09,0056,T,100,6.1NRT,297.75,89.39,D
-20.08002,122.20396,371.42,1.03,1.02,2025-06-09,0056,T,100,6.1NRT,299.88,122.56,D
-20.14914,122.29483,306.93,1.03,1.01,2025-06-09,0056,T,56,6.1NRT,295.89,4.32,D
-20.15058,122.30444,309.28,1.03,1.01,2025-06-09,0056,T,62,6.1NRT,295.76,5.94,D
-21.2731,117.40631,306.83,1.82,1.32,2025-06-09,0056,T,61,6.1NRT,294.71,11.45,D
-22.14676,117.97459,326.4,1.6,1.24,2025-06-09,0056,T,84,6.1NRT,293.36,46.25,D
30.93004,48.8591,304.4,1.73,1.29,2025-06-09,0009,A,60,6.1NRT,293.36,12.6,N
30.72977,49.82139,309.87,2.02,1.39,2025-06-09,0009,A,79,6.1NRT,295.61,22.39,N
31.08804,47.78337,307.56,1.46,1.2,2025-06-09,0009,A,62,6.1NRT,292.77,12.67,N
31.0853,47.79808,314.79,1.47,1.2,2025-06-09,0009,A,90,6.1NRT,296,21.49,N
31.06648,47.61078,300.26,1.43,1.18,2025-06-09,0009,A,23,6.1NRT,289.68,7.54,N
